GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",55573,186,50967,629,695,264,2540,330,759,256
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",7295,266,7232,258,16,21,0,15,8,12
9700000US4207200,4207200,"Dallas School District, Pennsylvania",20574,127,19968,222,87,67,186,97,252,160
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",41050,332,37996,598,1214,291,744,327,663,219
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",21278,25,19746,449,770,311,179,130,401,167
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",18935,249,17960,276,286,56,445,60,139,74
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",29016,156,27154,410,462,199,112,112,737,235
9700000US4207540,4207540,"Deer Lakes School District, Pennsylvania",14290,126,13889,204,164,133,47,46,132,75
9700000US4207560,4207560,"Derry Area School District, Pennsylvania",17724,119,17221,174,218,105,21,18,213,112
9700000US4207590,4207590,"Derry Township School District, Pennsylvania",24709,24,21179,699,841,536,1614,316,482,186
9700000US4207650,4207650,"Donegal School District, Pennsylvania",21118,496,19496,650,628,372,242,189,541,253
9700000US4207680,4207680,"Dover Area School District, Pennsylvania",25745,292,23728,604,811,335,151,138,902,402
9700000US4207710,4207710,"Downingtown Area School District, Pennsylvania",69237,37,60730,811,2386,453,4724,631,980,323
9700000US4207830,4207830,"DuBois Area School District, Pennsylvania",30854,319,30215,333,86,96,175,99,291,120
9700000US4207980,4207980,"Dunmore School District, Pennsylvania",14031,42,13401,271,122,75,364,211,102,77
9700000US4208010,4208010,"Duquesne City School District, Pennsylvania",5581,20,1976,266,3025,310,18,21,553,248
9700000US4208060,4208060,"East Allegheny School District, Pennsylvania",15002,372,12179,499,2423,435,75,69,299,128
9700000US4208280,4208280,"Forest Area School District, Pennsylvania",8127,78,6310,508,1466,524,26,19,122,97
9700000US4208460,4208460,"Eastern Lebanon County School District, Pennsylvania",21020,230,20110,484,111,79,87,90,294,199
9700000US4208490,4208490,"East Lycoming School District, Pennsylvania",10156,310,10017,315,61,55,17,18,16,12
9700000US4208550,4208550,"East Penn School District, Pennsylvania",54892,222,49841,566,1211,333,2170,335,1166,305
9700000US4208580,4208580,"East Pennsboro Area School District, Pennsylvania",20325,183,17872,583,379,183,1316,413,532,236
9700000US4208670,4208670,"East Stroudsburg Area School District, Pennsylvania",47734,162,36007,1079,7611,907,1064,326,1740,436
9700000US4208790,4208790,"Eastern York School District, Pennsylvania",19925,322,19018,383,284,148,60,55,467,202
9700000US4208820,4208820,"Eastern Lancaster County School District, Pennsylvania",32441,223,30586,769,742,408,790,482,120,73
9700000US4208850,4208850,"Easton Area School District, Pennsylvania",64049,281,49621,1087,6794,755,2297,539,2885,553
9700000US4209090,4209090,"Elizabeth Forward School District, Pennsylvania",18012,89,17561,208,235,145,19,24,131,102
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",30283,491,29046,537,367,159,217,90,308,139
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",7911,358,7757,353,23,20,8,8,89,37
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",14009,272,13513,310,85,73,74,51,295,125
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",33448,30,31417,548,267,237,621,256,353,173
9700000US4209300,4209300,"Erie City School District, Pennsylvania",101333,49,77369,911,15874,870,2067,307,3810,553
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",9464,375,9264,382,21,22,54,53,108,70
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",27377,80,24836,615,1241,404,530,231,518,275
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",7904,207,7679,225,53,43,34,31,43,32
9700000US4209570,4209570,"Fairview School District, Pennsylvania",10157,36,9889,128,110,69,6,13,131,99
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",10713,410,10435,413,98,53,8,12,89,63
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",4552,210,4497,213,28,27,3,5,24,28
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",5685,164,2579,248,2776,245,90,96,229,113
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",5162,328,4863,311,165,76,20,21,108,61
