GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - No vehicle available,Margin of Error; Owner occupied: - No vehicle available,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - No vehicle available,Margin of Error; Renter occupied: - No vehicle available
9700000US4205490,4205490,"Central York School District, Pennsylvania",13366,293,10801,371,241,67,2565,285,365,122
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",26344,429,18578,569,468,124,7766,509,1144,255
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",5093,189,3719,158,193,70,1374,160,471,97
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",13857,386,9738,404,461,120,4119,316,600,146
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",3647,159,3061,163,75,40,586,113,76,42
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",14492,378,9145,353,165,80,5347,317,1016,205
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",14329,426,5784,375,739,175,8545,417,4077,371
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",4387,194,3670,205,120,52,717,121,19,12
9700000US4205910,4205910,"Chichester School District, Pennsylvania",9164,283,6272,325,130,55,2892,250,711,173
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",3216,187,1808,178,251,83,1408,183,711,161
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",3213,198,1849,131,59,37,1364,158,246,113
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",3260,179,2128,150,63,42,1132,147,200,94
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",2256,133,1708,155,59,36,548,123,99,53
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",8191,263,5851,277,220,88,2340,218,343,112
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",23497,559,17286,533,446,128,6211,475,1450,285
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",8309,230,6762,298,231,80,1547,223,77,48
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",4079,136,2509,198,129,56,1570,177,449,105
9700000US4206390,4206390,"Commodore Perry School District, Pennsylvania",1661,71,1491,78,41,16,170,36,15,8
9700000US4206420,4206420,"Conemaugh Township Area School District, Pennsylvania",3449,155,2994,180,63,43,455,125,36,30
9700000US4206430,4206430,"Conemaugh Valley School District, Pennsylvania",2705,101,2290,87,100,28,415,71,81,33
9700000US4206480,4206480,"Conestoga Valley School District, Pennsylvania",11877,312,7702,361,724,160,4175,277,552,179
9700000US4206550,4206550,"Conewago Valley School District, Pennsylvania",10376,317,7933,343,166,78,2443,222,317,117
9700000US4206590,4206590,"Conneaut School District, Pennsylvania",7302,207,5998,204,389,76,1304,143,183,46
9700000US4206660,4206660,"Connellsville Area School District, Pennsylvania",14258,348,10841,356,532,137,3417,281,621,120
9700000US4206780,4206780,"Conrad Weiser Area School District, Pennsylvania",7216,211,5799,222,142,72,1417,173,84,38
9700000US4206810,4206810,"Cornell School District, Pennsylvania",3229,210,1553,123,107,62,1676,182,437,142
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",13533,316,10933,366,224,87,2600,247,261,90
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",5429,164,3867,193,235,66,1562,194,324,113
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",2337,110,1736,124,58,27,601,83,101,38
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",26012,365,23248,458,280,95,2764,374,410,105
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",3979,166,3104,177,93,44,875,117,105,51
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",12833,326,8183,314,198,63,4650,378,1033,235
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",22764,404,18610,489,423,155,4154,358,641,185
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",2998,112,2425,109,78,30,573,84,100,45
9700000US4207200,4207200,"Dallas School District, Pennsylvania",7998,244,6239,270,123,66,1759,210,277,117
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",16840,370,11975,453,222,94,4865,380,336,109
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",7593,206,6347,253,117,63,1246,195,156,91
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",7623,203,5625,234,128,46,1998,197,354,119
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",10716,416,9041,388,210,89,1675,235,238,87
9700000US4207540,4207540,"Deer Lakes School District, Pennsylvania",5831,178,4866,242,133,65,965,213,214,132
9700000US4207560,4207560,"Derry Area School District, Pennsylvania",7326,238,5479,276,229,86,1847,222,376,125
9700000US4207590,4207590,"Derry Township School District, Pennsylvania",10026,333,6271,306,92,59,3755,303,471,129
9700000US4207650,4207650,"Donegal School District, Pennsylvania",8257,294,5860,347,133,78,2397,271,340,157
9700000US4207680,4207680,"Dover Area School District, Pennsylvania",10164,288,8139,372,184,80,2025,252,174,92
9700000US4207710,4207710,"Downingtown Area School District, Pennsylvania",24928,362,20618,394,434,135,4310,341,678,193
9700000US4207830,4207830,"DuBois Area School District, Pennsylvania",12744,336,9172,295,355,80,3572,263,994,234
9700000US4207980,4207980,"Dunmore School District, Pennsylvania",5845,230,3232,212,188,69,2613,238,270,116
9700000US4208010,4208010,"Duquesne City School District, Pennsylvania",2437,190,1061,113,145,60,1376,185,838,156
9700000US4208060,4208060,"East Allegheny School District, Pennsylvania",7122,280,4369,236,243,90,2753,251,761,158
9700000US4208280,4208280,"Forest Area School District, Pennsylvania",2227,458,1875,348,36,18,352,125,68,42
9700000US4208460,4208460,"Eastern Lebanon County School District, Pennsylvania",7859,250,6179,298,235,88,1680,227,259,125
9700000US4208490,4208490,"East Lycoming School District, Pennsylvania",3940,133,3256,118,64,30,684,90,42,22
9700000US4208550,4208550,"East Penn School District, Pennsylvania",21242,418,17085,453,419,115,4157,332,337,116
9700000US4208580,4208580,"East Pennsboro Area School District, Pennsylvania",8262,262,5597,283,118,86,2665,211,293,102
9700000US4208670,4208670,"East Stroudsburg Area School District, Pennsylvania",16301,578,12529,588,250,105,3772,331,667,176
9700000US4208790,4208790,"Eastern York School District, Pennsylvania",8143,279,6096,304,176,67,2047,229,141,70
9700000US4208820,4208820,"Eastern Lancaster County School District, Pennsylvania",10835,297,7781,326,845,190,3054,325,603,153
9700000US4208850,4208850,"Easton Area School District, Pennsylvania",23352,452,16632,473,502,130,6720,371,1584,244
9700000US4209090,4209090,"Elizabeth Forward School District, Pennsylvania",7638,187,6322,231,234,86,1316,189,159,64
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",11206,408,7684,399,179,99,3522,363,583,177
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",2977,120,2342,88,52,23,635,85,50,26
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",6020,217,4517,227,162,55,1503,190,290,93
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",13149,301,9128,377,287,96,4021,315,514,162
9700000US4209300,4209300,"Erie City School District, Pennsylvania",40894,682,21420,595,1070,158,19474,688,6922,548
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",4047,173,3229,186,94,45,818,144,127,46
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",10211,212,8799,327,82,46,1412,199,93,38
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",2970,136,2714,127,79,34,256,73,65,39
9700000US4209570,4209570,"Fairview School District, Pennsylvania",3705,122,3251,161,56,37,454,132,148,83
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",4031,129,3313,131,111,35,718,75,142,43
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",1617,142,1360,146,108,43,257,72,33,30
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",2369,191,1571,181,121,59,798,142,319,89
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",2187,115,1492,82,72,24,695,90,161,48
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",6382,181,5165,260,105,51,1217,199,115,83
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",1202,73,1006,74,25,15,196,48,26,14
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",2379,140,1799,135,47,29,580,76,93,46
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",5027,252,4351,250,180,91,676,123,84,46
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",3443,137,2504,157,121,58,939,139,93,40
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",5599,202,4915,188,187,102,684,168,63,42
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",11631,284,8389,310,295,106,3242,256,812,166
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",6541,240,5187,281,219,77,1354,180,395,111
9700000US4210115,4210115,"North Star School District, Pennsylvania",3618,181,2975,152,78,38,643,121,110,43
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",6876,192,4998,218,185,52,1878,169,542,116
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",9460,247,8103,270,162,61,1357,215,195,75
9700000US4210350,4210350,"Frazier School District, Pennsylvania",3364,174,2759,190,115,35,605,110,51,30
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",4723,167,3705,222,177,72,1018,151,173,58
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",4621,150,3913,161,110,56,708,141,36,18
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",1268,77,956,65,54,24,312,48,47,21
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",10272,251,8121,314,368,169,2151,269,377,158
