GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
9700000US4212540,4212540,"Jim Thorpe Area School District, Pennsylvania",5914,294,56661,4184
9700000US4212570,4212570,"Johnsonburg Area School District, Pennsylvania",2061,122,41675,5256
9700000US4212600,4212600,"Juniata County School District, Pennsylvania",9027,207,46102,1732
9700000US4212630,4212630,"Juniata Valley School District, Pennsylvania",2155,98,46983,3569
9700000US4212660,4212660,"Kane Area School District, Pennsylvania",3239,147,42087,2639
9700000US4212690,4212690,"Kennett Consolidated School District, Pennsylvania",9786,330,97401,5729
9700000US4212720,4212720,"Keystone School District, Pennsylvania",3050,101,44375,3142
9700000US4212725,4212725,"Keystone Central School District, Pennsylvania",14064,269,41909,1627
9700000US4212750,4212750,"Keystone Oaks School District, Pennsylvania",9632,252,53826,2437
9700000US4212840,4212840,"Kiski Area School District, Pennsylvania",11943,256,47888,2419
9700000US4212930,4212930,"Kutztown Area School District, Pennsylvania",5898,291,60773,5606
9700000US4212990,4212990,"Lackawanna Trail School District, Pennsylvania",3274,128,54470,3550
9700000US4213020,4213020,"Lake-Lehman School District, Pennsylvania",5848,182,60653,3515
9700000US4213050,4213050,"Lakeland School District, Pennsylvania",5148,180,49071,3957
9700000US4213080,4213080,"Lakeview School District, Pennsylvania",3351,104,48685,2848
9700000US4213110,4213110,"Lampeter-Strasburg School District, Pennsylvania",8671,290,67129,3941
9700000US4213140,4213140,"Lancaster School District, Pennsylvania",28559,645,36193,1532
9700000US4213290,4213290,"Homer-Center School District, Pennsylvania",2588,143,42711,4152
9700000US4213320,4213320,"Laurel Highlands School District, Pennsylvania",9544,275,41784,2971
9700000US4213380,4213380,"Laurel School District, Pennsylvania",3095,123,51282,4486
9700000US4213440,4213440,"Lebanon School District, Pennsylvania",10311,361,33806,2822
