GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,With a disability; Estimate; Total civilian noninstitutionalized population,With a disability; Margin of Error; Total civilian noninstitutionalized population,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Percent with a disability; Margin of Error; Total civilian noninstitutionalized population
9700000US4214790,4214790,"Mars Area School District, Pennsylvania",19030,263,1527,247,8.0,1.3
9700000US4214850,4214850,"Central Fulton School District, Pennsylvania",6400,238,951,105,14.9,1.6
9700000US4214880,4214880,"McGuffey School District, Pennsylvania",12821,318,1929,197,15.0,1.5
9700000US4214940,4214940,"McKeesport Area School District, Pennsylvania",30636,311,5788,437,18.9,1.4
9700000US4215030,4215030,"Mechanicsburg Area School District, Pennsylvania",28523,158,3038,376,10.7,1.3
9700000US4215120,4215120,"Mercer Area School District, Pennsylvania",8885,342,1389,175,15.6,1.9
9700000US4215150,4215150,"Meyersdale Area School District, Pennsylvania",7155,271,1183,114,16.5,1.6
9700000US4215170,4215170,"Mid Valley School District, Pennsylvania",15307,22,2469,324,16.1,2.1
9700000US4215210,4215210,"Midd-West School District, Pennsylvania",16907,500,2215,201,13.1,1.2
9700000US4215240,4215240,"Middletown Area School District, Pennsylvania",17957,250,2304,310,12.8,1.7
9700000US4215270,4215270,"Midland Borough School District, Pennsylvania",2611,23,614,161,23.5,6.1
9700000US4215290,4215290,"Mifflin County School District, Pennsylvania",43028,201,7375,535,17.1,1.2
9700000US4215330,4215330,"Millcreek Township School District, Pennsylvania",53362,171,6635,525,12.4,1.0
9700000US4215360,4215360,"Millersburg Area School District, Pennsylvania",6514,137,965,195,14.8,3.0
9700000US4215450,4215450,"Millville Area School District, Pennsylvania",5365,216,589,86,11.0,1.6
9700000US4215480,4215480,"Milton Area School District, Pennsylvania",16649,261,2677,441,16.1,2.6
9700000US4215510,4215510,"Minersville Area School District, Pennsylvania",8791,239,1601,182,18.2,2.0
9700000US4215540,4215540,"Mohawk Area School District, Pennsylvania",10709,263,1306,185,12.2,1.7
9700000US4215600,4215600,"Monessen City School District, Pennsylvania",7645,34,1230,170,16.1,2.2
9700000US4215660,4215660,"Montgomery Area School District, Pennsylvania",6253,308,867,143,13.9,2.0
9700000US4215720,4215720,"Montour School District, Pennsylvania",25489,115,2801,330,11.0,1.3
9700000US4215750,4215750,"Montoursville Area School District, Pennsylvania",13256,223,1634,217,12.3,1.6
9700000US4215810,4215810,"Montrose Area School District, Pennsylvania",11709,356,1840,168,15.7,1.4
9700000US4215830,4215830,"Moon Area School District, Pennsylvania",27126,70,2955,339,10.9,1.3
9700000US4215900,4215900,"Morrisville Borough School District, Pennsylvania",8731,23,1368,327,15.7,3.7
9700000US4215960,4215960,"Moshannon Valley School District, Pennsylvania",6496,346,1153,110,17.7,1.6
9700000US4215990,4215990,"Mount Carmel Area School District, Pennsylvania",12417,154,2497,288,20.1,2.3
9700000US4216020,4216020,"Mount Union Area School District, Pennsylvania",9958,460,1762,177,17.7,1.8
9700000US4216050,4216050,"Mountain View School District, Pennsylvania",8529,419,1494,159,17.5,1.9
9700000US4216110,4216110,"Mt. Lebanon School District, Pennsylvania",32652,98,3031,365,9.3,1.1
9700000US4216170,4216170,"Mount Pleasant Area School District, Pennsylvania",17656,300,2666,308,15.1,1.7
9700000US4216200,4216200,"Muhlenberg School District, Pennsylvania",23394,144,2900,327,12.4,1.4
9700000US4216230,4216230,"Muncy School District, Pennsylvania",7001,313,954,186,13.6,2.6
