GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
9700000US4203390,4203390,"Benton Area School District, Pennsylvania",493,40
9700000US4203420,4203420,"Berlin Brothersvalley School District, Pennsylvania",393,26
9700000US4203450,4203450,"Bermudian Springs School District, Pennsylvania",600,80
9700000US4203480,4203480,"Berwick Area School District, Pennsylvania",498,19
9700000US4203510,4203510,"Bethel Park School District, Pennsylvania",740,48
9700000US4203570,4203570,"Bethlehem Area School District, Pennsylvania",804,21
9700000US4203600,4203600,"Bethlehem-Center School District, Pennsylvania",458,29
9700000US4203630,4203630,"Big Beaver Falls Area School District, Pennsylvania",447,30
9700000US4203660,4203660,"Big Spring School District, Pennsylvania",578,24
9700000US4203688,4203688,"Blackhawk School District, Pennsylvania",570,18
9700000US4203690,4203690,"Blacklick Valley School District, Pennsylvania",363,49
9700000US4203750,4203750,"Blairsville-Saltsburg School District, Pennsylvania",441,22
9700000US4203840,4203840,"Bloomsburg Area School District, Pennsylvania",560,37
9700000US4203870,4203870,"Blue Mountain School District, Pennsylvania",528,19
9700000US4203900,4203900,"Blue Ridge School District, Pennsylvania",516,26
9700000US4203960,4203960,"Boyertown Area School District, Pennsylvania",724,34
9700000US4204020,4204020,"Bradford Area School District, Pennsylvania",463,18
9700000US4204050,4204050,"Brandywine Heights Area School District, Pennsylvania",653,58
9700000US4204080,4204080,"Brownsville Area School District, Pennsylvania",368,33
9700000US4204090,4204090,"Bryn Athyn School District, Pennsylvania",989,259
9700000US4204140,4204140,"Brentwood Borough School District, Pennsylvania",544,26
9700000US4204200,4204200,"Bristol Borough School District, Pennsylvania",731,24
9700000US4204230,4204230,"Bristol Township School District, Pennsylvania",830,21
9700000US4204260,4204260,"Brockway Area School District, Pennsylvania",419,14
9700000US4204320,4204320,"Brookville Area School District, Pennsylvania",377,28
9700000US4204500,4204500,"Burgettstown Area School District, Pennsylvania",442,33
9700000US4204530,4204530,"Burrell School District, Pennsylvania",553,25
9700000US4204590,4204590,"Butler Area School District, Pennsylvania",526,14
9700000US4204710,4204710,"California Area School District, Pennsylvania",423,46
9700000US4204740,4204740,"Cambria Heights School District, Pennsylvania",352,22
9700000US4204830,4204830,"Cameron County School District, Pennsylvania",388,26
9700000US4204860,4204860,"Camp Hill School District, Pennsylvania",780,63
9700000US4204890,4204890,"Canon-McMillan School District, Pennsylvania",611,47
9700000US4204920,4204920,"Canton Area School District, Pennsylvania",395,28
9700000US4204980,4204980,"Carbondale Area School District, Pennsylvania",442,24
9700000US4205010,4205010,"Carlisle Area School District, Pennsylvania",627,20
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",556,24
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",362,48
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",791,60
9700000US4205190,4205190,"Centennial School District, Pennsylvania",1059,41
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",1153,40
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",499,28
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",524,36
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",760,16
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",448,29
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",546,39
9700000US4205490,4205490,"Central York School District, Pennsylvania",791,31
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",625,24
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",435,31
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",748,46
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",595,94
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",965,32
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",661,18
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",459,43
9700000US4205910,4205910,"Chichester School District, Pennsylvania",803,30
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",475,21
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",501,40
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",443,38
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",461,39
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",422,17
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",900,37
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",682,82
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",610,18
