GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Total; Margin of Error; Total civilian noninstitutionalized population,Number Uninsured; Estimate; Total civilian noninstitutionalized population,Number Uninsured; Margin of Error; Total civilian noninstitutionalized population,Percent Uninsured; Estimate; Total civilian noninstitutionalized population,Percent Uninsured; Margin of Error; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Margin of Error; Total civilian noninstitutionalized population
9700000US4204530,4204530,"Burrell School District, Pennsylvania",13817,127,1012,291,7.3,2.1,12805,312,92.7,2.1
9700000US4204590,4204590,"Butler Area School District, Pennsylvania",53491,383,4741,561,8.9,1.0,48750,667,91.1,1.0
9700000US4204710,4204710,"California Area School District, Pennsylvania",11087,221,784,186,7.1,1.7,10303,292,92.9,1.7
9700000US4204740,4204740,"Cambria Heights School District, Pennsylvania",9575,252,664,98,6.9,1.0,8911,250,93.1,1.0
9700000US4204830,4204830,"Cameron County School District, Pennsylvania",4948,57,435,103,8.8,2.1,4513,117,91.2,2.1
9700000US4204860,4204860,"Camp Hill School District, Pennsylvania",7764,53,254,97,3.3,1.2,7510,104,96.7,1.2
9700000US4204890,4204890,"Canon-McMillan School District, Pennsylvania",33756,135,2245,370,6.7,1.1,31511,401,93.3,1.1
9700000US4204920,4204920,"Canton Area School District, Pennsylvania",6649,377,1265,214,19.0,2.8,5384,316,81.0,2.8
9700000US4204980,4204980,"Carbondale Area School District, Pennsylvania",10730,208,1100,219,10.3,2.0,9630,272,89.7,2.0
9700000US4205010,4205010,"Carlisle Area School District, Pennsylvania",36089,317,2621,422,7.3,1.2,33468,486,92.7,1.2
9700000US4205040,4205040,"Carlynton School District, Pennsylvania",14415,54,1514,322,10.5,2.2,12901,324,89.5,2.2
9700000US4205070,4205070,"Carmichaels Area School District, Pennsylvania",6896,96,539,224,7.8,3.2,6357,236,92.2,3.2
9700000US4205160,4205160,"Catasauqua Area School District, Pennsylvania",10898,119,1164,297,10.7,2.7,9734,294,89.3,2.7
9700000US4205190,4205190,"Centennial School District, Pennsylvania",48428,246,3866,618,8.0,1.3,44562,677,92.0,1.3
9700000US4205310,4205310,"Central Bucks School District, Pennsylvania",111852,669,4787,628,4.3,0.6,107065,808,95.7,0.6
9700000US4205340,4205340,"Central Cambria School District, Pennsylvania",12980,229,801,201,6.2,1.5,12179,295,93.8,1.5
9700000US4205370,4205370,"Central Columbia School District, Pennsylvania",15024,387,977,243,6.5,1.6,14047,385,93.5,1.6
9700000US4205400,4205400,"Central Dauphin School District, Pennsylvania",88421,382,7786,768,8.8,0.9,80635,802,91.2,0.9
9700000US4205430,4205430,"Central Greene School District, Pennsylvania",12612,430,1386,270,11.0,2.2,11226,491,89.0,2.2
9700000US4205460,4205460,"Crestwood School District, Pennsylvania",20013,275,1226,257,6.1,1.3,18787,387,93.9,1.3
9700000US4205490,4205490,"Central York School District, Pennsylvania",34738,497,2796,432,8.0,1.2,31942,597,92.0,1.2
9700000US4205550,4205550,"Chambersburg Area School District, Pennsylvania",66040,408,8690,1003,13.2,1.5,57350,995,86.8,1.5
9700000US4205640,4205640,"Charleroi School District, Pennsylvania",11935,157,1109,261,9.3,2.2,10826,296,90.7,2.2
9700000US4205700,4205700,"Chartiers Valley School District, Pennsylvania",30190,170,2218,388,7.3,1.3,27972,408,92.7,1.3
9700000US4205730,4205730,"Chartiers-Houston School District, Pennsylvania",8886,164,705,213,7.9,2.4,8181,277,92.1,2.4
9700000US4205760,4205760,"Cheltenham Township School District, Pennsylvania",36449,142,3143,369,8.6,1.0,33306,392,91.4,1.0
9700000US4205860,4205860,"Chester-Upland School District, Pennsylvania",39884,161,5734,542,14.4,1.4,34150,574,85.6,1.4
9700000US4205880,4205880,"Chestnut Ridge School District, Pennsylvania",10926,401,1154,181,10.6,1.5,9772,360,89.4,1.5
9700000US4205910,4205910,"Chichester School District, Pennsylvania",24630,252,2337,418,9.5,1.7,22293,466,90.5,1.7
9700000US4206030,4206030,"Clairton City School District, Pennsylvania",6759,47,1124,252,16.6,3.7,5635,262,83.4,3.7
9700000US4206060,4206060,"Clarion Area School District, Pennsylvania",8414,225,637,184,7.6,2.2,7777,302,92.4,2.2
9700000US4206090,4206090,"Clarion-Limestone Area School District, Pennsylvania",7922,264,594,147,7.5,1.8,7328,243,92.5,1.8
9700000US4206120,4206120,"Claysburg-Kimmel School District, Pennsylvania",5764,136,426,133,7.4,2.3,5338,183,92.6,2.3
9700000US4206150,4206150,"Clearfield Area School District, Pennsylvania",18488,205,1891,326,10.2,1.8,16597,359,89.8,1.8
9700000US4206240,4206240,"Coatesville Area School District, Pennsylvania",63070,231,6874,718,10.9,1.1,56196,719,89.1,1.1
9700000US4206270,4206270,"Cocalico School District, Pennsylvania",23042,268,2809,487,12.2,2.1,20233,574,87.8,2.1
9700000US4206360,4206360,"Columbia Borough School District, Pennsylvania",10218,49,1404,354,13.7,3.5,8814,356,86.3,3.5
