GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Occupied,Margin of Error; Total: - Occupied,Estimate; Total: - Vacant,Margin of Error; Total: - Vacant
9700000US4209300,4209300,"Erie City School District, Pennsylvania",45264,671,40894,682,4370,519
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",5001,187,4047,173,954,111
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",10725,236,10211,212,514,163
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",3312,133,2970,136,342,122
9700000US4209570,4209570,"Fairview School District, Pennsylvania",3949,162,3705,122,244,117
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",4692,129,4031,129,661,73
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",2094,177,1617,142,477,85
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",2922,231,2369,191,553,134
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",2524,109,2187,115,337,67
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",6592,196,6382,181,210,120
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",1366,71,1202,73,164,48
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",3469,143,2379,140,1090,130
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",5578,271,5027,252,551,150
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",3744,159,3443,137,301,106
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",5882,194,5599,202,283,112
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",12651,332,11631,284,1020,212
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",7638,259,6541,240,1097,160
9700000US4210115,4210115,"North Star School District, Pennsylvania",4256,198,3618,181,638,153
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",7886,195,6876,192,1010,141
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",10110,264,9460,247,650,192
9700000US4210350,4210350,"Frazier School District, Pennsylvania",3745,172,3364,174,381,82
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",5092,183,4723,167,369,131
