GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",11206,408,7684,399,3522,363
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",2977,120,2342,88,635,85
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",6020,217,4517,227,1503,190
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",13149,301,9128,377,4021,315
9700000US4209300,4209300,"Erie City School District, Pennsylvania",40894,682,21420,595,19474,688
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",4047,173,3229,186,818,144
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",10211,212,8799,327,1412,199
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",2970,136,2714,127,256,73
9700000US4209570,4209570,"Fairview School District, Pennsylvania",3705,122,3251,161,454,132
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",4031,129,3313,131,718,75
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",1617,142,1360,146,257,72
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",2369,191,1571,181,798,142
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",2187,115,1492,82,695,90
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",6382,181,5165,260,1217,199
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",1202,73,1006,74,196,48
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",2379,140,1799,135,580,76
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",5027,252,4351,250,676,123
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",3443,137,2504,157,939,139
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",5599,202,4915,188,684,168
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",11631,284,8389,310,3242,256
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",6541,240,5187,281,1354,180
9700000US4210115,4210115,"North Star School District, Pennsylvania",3618,181,2975,152,643,121
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",6876,192,4998,218,1878,169
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",9460,247,8103,270,1357,215
9700000US4210350,4210350,"Frazier School District, Pennsylvania",3364,174,2759,190,605,110
