GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
9700000US4206810,4206810,"Cornell School District, Pennsylvania",6757,82,188,107
9700000US4206840,4206840,"Cornwall-Lebanon School District, Pennsylvania",34846,175,2192,420
9700000US4206860,4206860,"Corry Area School District, Pennsylvania",14587,325,57,35
9700000US4206930,4206930,"Coudersport Area School District, Pennsylvania",5726,239,89,37
9700000US4206960,4206960,"Council Rock School District, Pennsylvania",72604,160,1611,388
9700000US4207050,4207050,"Cranberry Area School District, Pennsylvania",9283,188,26,26
9700000US4207080,4207080,"Crawford Central School District, Pennsylvania",30605,284,398,107
9700000US4207110,4207110,"Cumberland Valley School District, Pennsylvania",55573,186,1588,471
9700000US4207140,4207140,"Curwensville Area School District, Pennsylvania",7295,266,62,54
9700000US4207200,4207200,"Dallas School District, Pennsylvania",20574,127,316,164
9700000US4207230,4207230,"Dallastown Area School District, Pennsylvania",41050,332,1230,428
9700000US4207290,4207290,"Daniel Boone Area School District, Pennsylvania",21278,25,459,228
9700000US4207320,4207320,"Danville Area School District, Pennsylvania",18935,249,388,18
9700000US4207530,4207530,"Delaware Valley School District, Pennsylvania",29016,156,2203,393
9700000US4207540,4207540,"Deer Lakes School District, Pennsylvania",14290,126,64,69
9700000US4207560,4207560,"Derry Area School District, Pennsylvania",17724,119,90,72
9700000US4207590,4207590,"Derry Township School District, Pennsylvania",24709,24,1085,493
9700000US4207650,4207650,"Donegal School District, Pennsylvania",21118,496,880,369
9700000US4207680,4207680,"Dover Area School District, Pennsylvania",25745,292,630,296
9700000US4207710,4207710,"Downingtown Area School District, Pennsylvania",69237,37,1628,381
9700000US4207830,4207830,"DuBois Area School District, Pennsylvania",30854,319,638,223
9700000US4207980,4207980,"Dunmore School District, Pennsylvania",14031,42,546,355
9700000US4208010,4208010,"Duquesne City School District, Pennsylvania",5581,20,30,27
9700000US4208060,4208060,"East Allegheny School District, Pennsylvania",15002,372,105,56
9700000US4208280,4208280,"Forest Area School District, Pennsylvania",8127,78,437,9
9700000US4208460,4208460,"Eastern Lebanon County School District, Pennsylvania",21020,230,819,332
9700000US4208490,4208490,"East Lycoming School District, Pennsylvania",10156,310,48,43
9700000US4208550,4208550,"East Penn School District, Pennsylvania",54892,222,3064,649
9700000US4208580,4208580,"East Pennsboro Area School District, Pennsylvania",20325,183,736,280
9700000US4208670,4208670,"East Stroudsburg Area School District, Pennsylvania",47734,162,7911,827
9700000US4208790,4208790,"Eastern York School District, Pennsylvania",19925,322,491,257
9700000US4208820,4208820,"Eastern Lancaster County School District, Pennsylvania",32441,223,927,328
9700000US4208850,4208850,"Easton Area School District, Pennsylvania",64049,281,8447,829
9700000US4209090,4209090,"Elizabeth Forward School District, Pennsylvania",18012,89,190,134
9700000US4209120,4209120,"Elizabethtown Area School District, Pennsylvania",30283,491,765,308
9700000US4209150,4209150,"Elk Lake School District, Pennsylvania",7911,358,203,68
9700000US4209240,4209240,"Ellwood City Area School District, Pennsylvania",14009,272,120,85
9700000US4209270,4209270,"Ephrata Area School District, Pennsylvania",33448,30,1009,443
9700000US4209300,4209300,"Erie City School District, Pennsylvania",101333,49,6806,430
9700000US4209360,4209360,"Everett Area School District, Pennsylvania",9464,375,79,41
9700000US4209480,4209480,"Exeter Township School District, Pennsylvania",27377,80,811,264
9700000US4209540,4209540,"Fairfield Area School District, Pennsylvania",7904,207,135,78
9700000US4209570,4209570,"Fairview School District, Pennsylvania",10157,36,269,123
9700000US4209600,4209600,"Karns City Area School District, Pennsylvania",10713,410,120,65
9700000US4209660,4209660,"Fannett-Metal School District, Pennsylvania",4552,210,29,30
9700000US4209690,4209690,"Farrell Area School District, Pennsylvania",5685,164,86,55
9700000US4209750,4209750,"Ferndale Area School District, Pennsylvania",5162,328,76,37
9700000US4209780,4209780,"Fleetwood Area School District, Pennsylvania",16685,26,694,311
9700000US4209870,4209870,"Forbes Road School District, Pennsylvania",2923,195,11,12
9700000US4209930,4209930,"Forest City Regional School District, Pennsylvania",5834,387,121,88
9700000US4209940,4209940,"Forest Hills School District, Pennsylvania",12562,198,181,180
9700000US4209960,4209960,"Fort Cherry School District, Pennsylvania",8598,274,87,60
9700000US4209990,4209990,"Fort LeBoeuf School District, Pennsylvania",14282,359,98,95
9700000US4210070,4210070,"Fox Chapel Area School District, Pennsylvania",28829,155,603,338
9700000US4210110,4210110,"North Schuylkill School District, Pennsylvania",16661,322,513,113
9700000US4210115,4210115,"North Star School District, Pennsylvania",9125,296,34,30
9700000US4210200,4210200,"Franklin Area School District, Pennsylvania",16481,237,259,64
9700000US4210230,4210230,"Franklin Regional School District, Pennsylvania",23259,219,307,146
9700000US4210350,4210350,"Frazier School District, Pennsylvania",8312,362,32,28
9700000US4210380,4210380,"Freedom Area School District, Pennsylvania",11071,194,28,22
9700000US4210440,4210440,"Freeport Area School District, Pennsylvania",11664,170,126,121
9700000US4210530,4210530,"Galeton Area School District, Pennsylvania",2960,185,5,6
9700000US4210590,4210590,"Garnet Valley School District, Pennsylvania",28662,38,420,187
9700000US4210620,4210620,"Gateway School District, Pennsylvania",31656,30,446,160
9700000US4210650,4210650,"General McLane School District, Pennsylvania",17431,214,308,182
9700000US4210710,4210710,"Gettysburg Area School District, Pennsylvania",27587,290,1603,495
9700000US4210740,4210740,"Girard School District, Pennsylvania",11183,33,164,106
9700000US4210830,4210830,"Glendale School District, Pennsylvania",5643,270,44,33
9700000US4210860,4210860,"Governor Mifflin School District, Pennsylvania",30951,39,2909,710
9700000US4210870,4210870,"Great Valley School District, Pennsylvania",29975,45,1526,669
9700000US4210920,4210920,"Greensburg Salem School District, Pennsylvania",26047,303,294,145
9700000US4210950,4210950,"Greater Johnstown School District, Pennsylvania",27440,218,657,230
9700000US4210980,4210980,"Greater Latrobe School District, Pennsylvania",31156,87,278,127
9700000US4211010,4211010,"Greencastle-Antrim School District, Pennsylvania",19031,29,412,320
9700000US4211160,4211160,"Greenville Area School District, Pennsylvania",10697,173,205,105
9700000US4211190,4211190,"Greenwood School District, Pennsylvania",5290,224,81,44
9700000US4211220,4211220,"Grove City Area School District, Pennsylvania",17489,223,180,76
9700000US4211310,4211310,"Halifax Area School District, Pennsylvania",7916,281,61,39
9700000US4211340,4211340,"Hamburg Area School District, Pennsylvania",17523,335,534,200
9700000US4211400,4211400,"Hampton Township School District, Pennsylvania",18386,32,165,121
9700000US4211420,4211420,"Hanover Area School District, Pennsylvania",15401,95,293,204
9700000US4211450,4211450,"Hanover Public School District, Pennsylvania",15332,25,1064,522
9700000US4211490,4211490,"Harbor Creek School District, Pennsylvania",17250,39,351,176
9700000US4211520,4211520,"Harmony Area School District, Pennsylvania",2301,159,5,9
9700000US4211580,4211580,"Harrisburg City School District, Pennsylvania",49395,62,9193,634
9700000US4211610,4211610,"Hatboro-Horsham School District, Pennsylvania",33634,62,1419,450
9700000US4211670,4211670,"Haverford Township School District, Pennsylvania",48598,37,824,274
9700000US4211700,4211700,"Hazleton Area School District, Pennsylvania",73310,536,14840,820
9700000US4211730,4211730,"Saucon Valley School District, Pennsylvania",16670,24,835,370
9700000US4211760,4211760,"Hempfield Area School District, Pennsylvania",50928,524,830,241
9700000US4211790,4211790,"Hempfield School District, Pennsylvania",47249,29,4238,762
9700000US4211820,4211820,"Hermitage School District, Pennsylvania",16262,23,207,102
9700000US4211880,4211880,"Highlands School District, Pennsylvania",20669,144,70,53
9700000US4211940,4211940,"Hollidaysburg Area School District, Pennsylvania",27075,218,162,92
9700000US4212030,4212030,"Hopewell Area School District, Pennsylvania",18064,141,323,161
9700000US4212090,4212090,"Huntingdon Area School District, Pennsylvania",20424,263,516,76
9700000US4212150,4212150,"Indiana Area School District, Pennsylvania",32991,92,433,121
9700000US4212170,4212170,"Interboro School District, Pennsylvania",23605,24,596,280
9700000US4212210,4212210,"Iroquois School District, Pennsylvania",7278,39,229,204
