"GeoID","ID_2","Name","Pop_Total","PopForPov","Below_Pov","Pov_Rate","PovUnder18","Pov_18to64","Pov_65Over","HH_Total","HH_SNAP","SNAP_Rate","MHI","PctWhite","PctAfrAm","PctAsian","PctMulti","PctHispLat","Median_Age","LangEngOnl","Lang_Other","MedianRent","Unemp_Rate","Pct_Disabl","Pct_Unins","HU_Total","HU_Occ","HU_Vacant","Pct_HU_Vac","Owner_Occ","Renter_Occ","Pct_Rent","HU_NoVeh","Pct_NoVeh"
"9700000US4204080",4204080,"Brownsville Area School District, Pennsylvania",15243,13220,2613,19.8,36.8,18,8,5579,1295,23.2120451694,34980,79.7480810864,14.6034245227,0.0328019419,4.9399724464,1.9353145706,41.5,97.2,2.8,368,12.6,22.3,11.4,6704,5579,1125,16.781026253,4035,1544,27.6752106112,661,11.8480014339
"9700000US4204090",4204090,"Bryn Athyn School District, Pennsylvania",1377,1214,58,4.8,0,5,9.4,454,11,2.422907489,81136,94.6259985476,0.5083514887,2.5417574437,1.8155410312,1.9607843137,43.2,92.8,7.2,989,5.8,11.7,6.2,495,454,41,8.2828282828,270,184,40.5286343612,33,7.268722467
"9700000US4204140",4204140,"Brentwood Borough School District, Pennsylvania",9638,9623,1444,15,25.1,13.6,9.3,4441,574,12.9250168881,47170,91.9381614443,3.2579373314,2.0751193194,2.6665283254,1.4940859099,40.4,95.9,4.1,544,6.7,13.7,11.4,4852,4441,411,8.4707337181,2689,1752,39.450574195,710,15.9873902274
"9700000US4204200",4204200,"Bristol Borough School District, Pennsylvania",9699,9681,986,10.2,16.8,8.2,8.2,3842,614,15.9812597605,44444,83.1632127023,10.1041344469,0.2371378493,3.4230333024,14.7953397257,38.4,90.7,9.3,731,10.1,16.9,11.4,4245,3842,403,9.4935217903,2206,1636,42.5819885476,338,8.7975013014
"9700000US4204230",4204230,"Bristol Township School District, Pennsylvania",54558,54232,4624,8.5,13,7.3,7.3,19705,1555,7.8913981223,58139,82.5653433044,11.134938964,2.4670992338,2.3736207339,7.2821584369,40.1,90.1,9.9,830,10,13.5,9.6,21919,19705,2214,10.1008257676,15435,4270,21.6696269982,781,3.9634610505
"9700000US4204260",4204260,"Brockway Area School District, Pennsylvania",7427,7340,1012,13.8,23.4,11.8,9.2,3043,306,10.0558659218,43491,98.3573448229,0.444324761,0.0403931601,1.023293389,0.444324761,43.5,98.2,1.8,419,7.1,14.4,9.8,3596,3043,553,15.3781979978,2319,724,23.7923102202,215,7.0653959908
"9700000US4204320",4204320,"Brookville Area School District, Pennsylvania",11913,11558,1350,11.7,17.4,10.9,7.8,4953,576,11.6293155663,42824,98.7072945522,0.2098547805,0.2098547805,0.5959875766,0.6715352976,45.3,97.9,2.1,377,8.3,16.3,9.6,6825,4953,1872,27.4285714286,3799,1154,23.2990107006,332,6.7030082778
"9700000US4204500",4204500,"Burgettstown Area School District, Pennsylvania",9873,9818,823,8.4,8.5,8.8,6.8,4032,380,9.4246031746,51129,98.8959789324,0.2734731085,0.0202572673,0.7596475235,0.9217056619,46.3,97.7,2.3,442,7.7,17.1,10.6,4535,4032,503,11.0915104741,3230,802,19.8908730159,241,5.9771825397
"9700000US4204530",4204530,"Burrell School District, Pennsylvania",13954,13817,1335,9.7,14.1,8.9,8,5935,610,10.2780117944,50285,97.9289092733,0.5446466963,0.7238067938,0.7238067938,0.7596388132,48,97.8,2.2,553,8.2,13,7.3,6361,5935,426,6.6970602107,4814,1121,18.8879528222,212,3.5720303286
"9700000US4204590",4204590,"Butler Area School District, Pennsylvania",54623,53429,7169,13.4,20,13,7.1,22937,3165,13.798665911,47419,95.7600278271,1.9698661736,0.7927063691,0.8641048643,1.3346026399,43.5,97.1,2.9,526,8,14.8,8.9,24785,22937,1848,7.4561226548,16050,6887,30.0257226316,2223,9.6917643981
